HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;2,6
1988;12;0;3,28
1987;13;0;3,34
1986;14;0;4,24
1985;15;0;9,9
1984;16;0;9,9
1983;17;0;10,74
1982;18;0;12,2
1981;19;0;13,4
1980;20;0;14,48
1979;21;0;15,36
1978;22;0;16,42
1977;23;0;16,58
1976;24;0;16,64
1975;25;0;17,46
1974;26;0;21,18
1973;27;0;21,5
1972;28;0;21,76
1971;29;0;22,06
1970;30;0;22,32
1969;31;0;24,1
1968;32;0;26
1967;33;0;26,94
1966;34;0;27,76
1965;35;0;27,94
1964;36;0;28,18
1963;37;0;28,3
1962;38;0;28,6
1961;39;0;28,86
1960;40;0;29,2
1959;41;0;29,24
1958;42;0;29,3
1957;43;0;29,88
1956;44;0;30,02
1955;45;0;30,24
1954;46;0;30,48
1953;47;0;30,5
1952;48;0;31,12
1951;49;0;31,36
1950;50;0;31,52
1949;51;0;31,74
1948;52;0;32,42
1947;53;0;32,52
1946;54;0;32,96
1945;55;0;33,1
1944;56;0;33,6
1943;57;0;34,58
1942;58;0;34,66
1941;59;0;34,74
1940;60;0;35,02
1939;61;0;35,68
1938;62;0;35,7
1937;63;0;35,88
1936;64;0;35,92
1935;65;0;35,94
1934;66;0;36,1
1933;67;0;36,12
1932;68;0;36,36
1931;69;0;36,52
1930;70;0;36,52
1929;71;0;36,62
1928;72;0;36,74
1927;73;0;37,38
1926;74;0;37,48
1925;75;0;37,64
1924;76;0;37,66
1923;77;0;37,9
1922;78;0;37,96
1921;79;0;38,8
1920;80;0;39,02
1919;81;0;39,14
1918;82;0;39,2
1917;83;0;39,32
1916;84;0;40,36
1915;85;0;40,5
1914;86;0;40,52
1913;87;0;40,54
1912;88;0;41,18
1911;89;0;41,36
1910;90;0;41,76
1909;91;0;42,14
1908;92;0;42,4
1907;93;0;42,62
1906;94;0;42,64
1905;95;0;42,68
1904;96;0;42,76
1903;97;0;42,94
1902;98;0;42,98
1901;99;0;43,44
1900;100;0;45,22
1899;101;0;45,24
1898;102;0;45,7
1897;103;0;46,12
1896;104;0;46,18
1895;105;0;46,78
1894;106;0;46,82
1893;107;0;46,98
1892;108;0;47,2
1891;109;0;47,64
1890;110;0;47,9
1889;111;0;47,9
1888;112;0;48,14
1887;113;0;48,36
1886;114;0;48,52
1885;115;0;48,54
1884;116;0;48,6
1883;117;0;48,94
1882;118;0;49,04
1881;119;0;49,38
1880;120;0;49,64
1879;121;0;49,7
1878;122;0;49,72
1878;121;0;50
1878;121;1;50
1878;120;1;50
1878;120;2;50
1878;119;2;50
1878;119;3;50
1878;118;3;50
1878;118;4;50
1878;117;4;50
1878;117;5;50
