HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;1,04
1988;12;0;1,06
1987;13;0;1,82
1986;14;0;2,68
1985;15;0;2,74
1984;16;0;3,9
1983;17;0;5,72
1982;18;0;5,74
1981;19;0;8,78
1980;20;0;9,16
1979;21;0;9,34
1978;22;0;10,16
1977;23;0;10,74
1976;24;0;11,24
1975;25;0;11,76
1974;26;0;12,14
1973;27;0;12,76
1972;28;0;13,36
1971;29;0;13,6
1970;30;0;14,22
1969;31;0;14,64
1968;32;0;15,88
1967;33;0;16,44
1966;34;0;17,06
1965;35;0;17,18
1964;36;0;18,94
1963;37;0;19,38
1962;38;0;19,58
1961;39;0;20,44
1960;40;0;21,76
1959;41;0;22,24
1958;42;0;23,18
1957;43;0;24,38
1956;44;0;25,18
1955;45;0;25,84
1954;46;0;26,24
1953;47;0;26,7
1952;48;0;27,08
1951;49;0;27,48
1950;50;0;29,36
1949;51;0;29,68
1948;52;0;29,88
1947;53;0;30,82
1946;54;0;30,94
1945;55;0;31,44
1944;56;0;31,98
1943;57;0;35,08
1942;58;0;35,58
1941;59;0;35,66
1940;60;0;35,74
1939;61;0;37,08
1938;62;0;37,12
1937;63;0;37,58
1936;64;0;39
1935;65;0;39,52
1934;66;0;39,52
1933;67;0;39,72
1932;68;0;40,06
1931;69;0;40,36
1930;70;0;40,72
1929;71;0;41,36
1928;72;0;42,58
1927;73;0;43,62
1926;74;0;43,76
1925;75;0;43,92
1924;76;0;43,96
1923;77;0;45,4
1922;78;0;45,6
1921;79;0;45,64
1920;80;0;46,28
1919;81;0;46,72
1918;82;0;47,44
1917;83;0;47,46
1916;84;0;47,56
1915;85;0;47,82
1914;86;0;48,34
1913;87;0;48,48
1912;88;0;48,78
1911;89;0;49,02
1910;90;0;49,22
1909;91;0;49,42
1908;92;0;49,48
1907;93;0;49,48
1906;94;0;49,58
1905;95;0;49,68
1904;96;0;49,86
1904;95;0;50
1904;95;1;50
1904;94;1;50
1904;94;2;50
1904;93;2;50
1904;93;3;50
1904;92;3;50
1904;92;4;50
1904;91;4;50
1904;91;5;50
1904;90;5;50
1904;90;6;50
1904;89;6;50
1904;89;7;50
1904;88;7;50
1904;88;8;50
1904;87;8;50
1904;87;9;50
1904;86;9;50
1904;86;10;50
1903;87;10;50,04
1902;88;10;50,16
1901;89;10;50,48
1900;90;10;50,96
1900;89;10;51,06
1900;89;11;51,06
1900;88;11;51,08
1900;88;12;51,08
1899;89;12;51,18
1898;90;12;51,26
1897;91;12;51,5
1897;90;12;51,84
1897;90;13;51,84
1896;91;13;51,94
1895;92;13;52,2
1894;93;13;52,3
1893;94;13;52,46
1892;95;13;52,52
