HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;1,04
1988;12;0;1,06
1987;13;0;2,38
1986;14;0;3,86
1985;15;0;4,16
1984;16;0;4,28
1983;17;0;5,18
1982;18;0;6,84
1981;19;0;7,02
1980;20;0;7,12
1979;21;0;7,14
1978;22;0;7,54
1977;23;0;8,26
1976;24;0;8,26
1975;25;0;10,36
1974;26;0;10,9
1973;27;0;11,08
1972;28;0;11,46
1971;29;0;11,68
1970;30;0;11,8
1969;31;0;12,4
1968;32;0;12,54
1967;33;0;12,62
1966;34;0;13,02
1965;35;0;13,38
1964;36;0;14,42
1963;37;0;14,56
1962;38;0;14,62
1961;39;0;15,08
1960;40;0;15,36
1959;41;0;15,36
1958;42;0;15,58
1957;43;0;16,08
1956;44;0;16,92
1955;45;0;17,5
1954;46;0;17,82
1953;47;0;18,08
1952;48;0;18,22
1951;49;0;18,3
1950;50;0;19,08
1949;51;0;19,36
1948;52;0;19,82
1947;53;0;20,02
1946;54;0;20,44
1945;55;0;21,1
1944;56;0;21,72
1943;57;0;21,92
1942;58;0;22
1941;59;0;22,04
1940;60;0;22,18
1939;61;0;22,22
1938;62;0;22,24
1937;63;0;22,52
1936;64;0;22,6
1935;65;0;22,88
1934;66;0;22,96
1933;67;0;23,12
1932;68;0;23,18
1931;69;0;23,38
1930;70;0;23,54
1929;71;0;23,6
1928;72;0;23,76
1927;73;0;23,96
1926;74;0;23,98
1925;75;0;24,1
1924;76;0;24,54
1923;77;0;24,64
1922;78;0;24,94
1921;79;0;25
1920;80;0;25,3
1919;81;0;25,8
1918;82;0;26,02
1917;83;0;26,04
1916;84;0;26,18
1915;85;0;26,18
1914;86;0;26,34
1913;87;0;26,36
1912;88;0;26,52
1911;89;0;26,74
1910;90;0;27,06
1909;91;0;27,28
1908;92;0;27,44
1907;93;0;27,68
1906;94;0;27,8
1905;95;0;27,8
1904;96;0;28,12
1903;97;0;28,14
1902;98;0;28,2
1901;99;0;28,74
1900;100;0;28,88
1899;101;0;29
1898;102;0;29,16
1897;103;0;29,16
1896;104;0;29,18
1895;105;0;29,18
1894;106;0;29,66
1893;107;0;30
1892;108;0;30,4
1891;109;0;30,64
1890;110;0;30,8
1889;111;0;31,04
1888;112;0;31,1
1887;113;0;31,1
1886;114;0;31,28
1885;115;0;31,3
1884;116;0;31,72
1883;117;0;31,78
1882;118;0;31,92
1881;119;0;31,94
1880;120;0;32,02
1879;121;0;32,38
1878;122;0;32,4
1877;123;0;32,5
1876;124;0;32,78
1875;125;0;33,12
1874;126;0;33,16
1873;127;0;33,22
1872;128;0;33,36
1871;129;0;33,4
1870;130;0;33,48
1869;131;0;33,5
