HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;1,06
1988;12;0;1,08
1987;13;0;2,94
1986;14;0;3,62
1985;15;0;4,66
1984;16;0;4,66
1983;17;0;6,12
1982;18;0;6,36
1981;19;0;7,5
1980;20;0;7,56
1979;21;0;8,18
1978;22;0;8,62
1977;23;0;8,84
1976;24;0;9,5
1975;25;0;9,64
1974;26;0;9,72
1973;27;0;10,34
1972;28;0;10,52
1971;29;0;11,4
1970;30;0;12,18
1969;31;0;12,32
1968;32;0;12,36
1967;33;0;12,66
1966;34;0;12,7
1965;35;0;12,72
1964;36;0;12,86
1963;37;0;13,68
1962;38;0;13,76
1961;39;0;13,98
1960;40;0;14,4
1959;41;0;14,56
1958;42;0;14,6
1957;43;0;14,7
1956;44;0;14,84
1955;45;0;15,1
1954;46;0;15,22
1953;47;0;15,38
1952;48;0;15,42
1951;49;0;15,72
1950;50;0;15,8
1949;51;0;15,96
1948;52;0;16,08
1947;53;0;16,14
1946;54;0;16,34
1945;55;0;16,34
1944;56;0;16,6
1943;57;0;16,62
1942;58;0;16,62
1941;59;0;16,84
1940;60;0;16,96
1939;61;0;17,5
1938;62;0;17,9
1937;63;0;17,96
1936;64;0;17,98
1935;65;0;18,1
1934;66;0;18,1
1933;67;0;18,26
1932;68;0;18,48
1931;69;0;18,54
1930;70;0;19,3
1929;71;0;19,4
1928;72;0;19,52
1927;73;0;19,7
1926;74;0;19,7
1925;75;0;19,74
1924;76;0;19,82
1923;77;0;19,88
1922;78;0;20,32
1921;79;0;20,34
1920;80;0;20,98
1919;81;0;21,06
1918;82;0;21,14
1917;83;0;21,4
1916;84;0;21,42
1915;85;0;21,8
1914;86;0;21,94
1913;87;0;21,96
1912;88;0;21,96
1911;89;0;21,98
1910;90;0;21,98
1909;91;0;22,16
1908;92;0;22,18
1907;93;0;22,24
1906;94;0;22,3
1905;95;0;22,52
1904;96;0;22,58
1903;97;0;22,62
1902;98;0;22,96
1901;99;0;23,02
1900;100;0;23,02
1899;101;0;23,04
1898;102;0;23,04
1897;103;0;23,08
1896;104;0;23,22
1895;105;0;23,26
1894;106;0;23,28
1893;107;0;23,28
1892;108;0;23,4
1891;109;0;23,44
1890;110;0;23,54
1889;111;0;23,78
1888;112;0;23,96
1887;113;0;24,42
1886;114;0;24,44
1885;115;0;24,48
1884;116;0;24,58
1883;117;0;24,64
1882;118;0;24,94
1881;119;0;24,98
1880;120;0;25,2
1879;121;0;25,62
1878;122;0;25,68
1877;123;0;25,86
1876;124;0;25,96
1875;125;0;26,1
1874;126;0;26,1
1873;127;0;26,16
1872;128;0;26,16
1871;129;0;26,24
1870;130;0;26,26
