HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;1,56
1988;12;0;1,9
1987;13;0;3,6
1986;14;0;3,88
1985;15;0;5,34
1984;16;0;5,4
1983;17;0;5,94
1982;18;0;6,38
1981;19;0;8,48
1980;20;0;9,3
1979;21;0;10
1978;22;0;10,32
1977;23;0;10,56
1976;24;0;11,04
1975;25;0;11,08
1974;26;0;11,58
1973;27;0;12,62
1972;28;0;12,74
1971;29;0;12,8
1970;30;0;12,82
1969;31;0;13,14
1968;32;0;13,4
1967;33;0;13,52
1966;34;0;14,04
1965;35;0;14,54
1964;36;0;15,2
1963;37;0;15,62
1962;38;0;16,12
1961;39;0;16,9
1960;40;0;17,24
1959;41;0;17,28
1958;42;0;17,52
1957;43;0;17,56
1956;44;0;17,86
1955;45;0;18,22
1954;46;0;18,26
1953;47;0;18,46
1952;48;0;18,72
1951;49;0;19,04
1950;50;0;19,2
1949;51;0;19,44
1948;52;0;19,46
1947;53;0;20
1946;54;0;20,18
1945;55;0;20,38
1944;56;0;20,46
1943;57;0;20,56
1942;58;0;20,6
1941;59;0;20,86
1940;60;0;20,9
1939;61;0;20,92
1938;62;0;21,74
1937;63;0;21,78
1936;64;0;21,82
1935;65;0;21,82
1934;66;0;21,86
1933;67;0;22,28
1932;68;0;22,34
1931;69;0;22,4
1930;70;0;22,4
1929;71;0;22,64
1928;72;0;22,68
1927;73;0;22,7
1926;74;0;22,86
1925;75;0;23,28
1924;76;0;23,28
1923;77;0;23,3
1922;78;0;23,58
1921;79;0;23,64
1920;80;0;23,92
1919;81;0;24,06
1918;82;0;24,08
1917;83;0;24,12
1916;84;0;24,14
1915;85;0;24,14
1914;86;0;24,2
1913;87;0;24,22
1912;88;0;24,26
1911;89;0;24,3
1910;90;0;24,9
1909;91;0;24,96
1908;92;0;24,96
1907;93;0;24,98
1906;94;0;25,16
1905;95;0;25,18
1904;96;0;25,32
1903;97;0;25,46
1902;98;0;25,64
1901;99;0;25,64
1900;100;0;25,78
1899;101;0;25,82
1898;102;0;25,94
1897;103;0;26,06
1896;104;0;26,16
1895;105;0;26,18
1894;106;0;26,24
1893;107;0;27,12
1892;108;0;27,14
1891;109;0;27,3
1890;110;0;27,58
1889;111;0;27,72
1888;112;0;27,82
1887;113;0;28,16
1886;114;0;28,16
1885;115;0;28,32
1884;116;0;28,42
1883;117;0;28,56
1882;118;0;28,58
1881;119;0;28,66
1880;120;0;28,7
1879;121;0;28,74
1878;122;0;28,8
1877;123;0;28,82
1876;124;0;29,16
1875;125;0;29,36
1874;126;0;29,44
1873;127;0;29,64
1872;128;0;29,7
1871;129;0;29,72
1870;130;0;29,74
1869;131;0;29,88
