HealthyCount;InfectedCount;RecoveredCount;Time
1909;1;0;0
1908;2;0;0
1907;3;0;0
1906;4;0;0
1905;5;0;0
1904;6;0;0
1903;7;0;0
1902;8;0;0
1901;9;0;0
1900;10;0;0
1899;11;0;1,02
1898;12;0;1,22
1897;13;0;1,62
1896;14;0;1,72
1895;15;0;2,28
1894;16;0;2,56
1893;17;0;2,88
1892;18;0;3,02
1891;19;0;4,16
1890;20;0;4,52
1889;21;0;4,94
1888;22;0;5,2
1887;23;0;5,82
1886;24;0;5,88
1885;25;0;6,16
1884;26;0;6,26
1883;27;0;6,6
1882;28;0;6,62
1881;29;0;6,66
1880;30;0;7,06
1879;31;0;7,1
1878;32;0;7,12
1877;33;0;7,12
1876;34;0;7,2
1875;35;0;7,44
1874;36;0;7,44
1873;37;0;7,68
1872;38;0;7,92
1871;39;0;8,12
1870;40;0;8,2
1869;41;0;8,34
1868;42;0;8,56
1867;43;0;8,66
1866;44;0;8,98
1865;45;0;9,06
1864;46;0;9,24
1863;47;0;9,36
1862;48;0;9,52
1861;49;0;9,60
1860;50;0;9,66
1859;51;0;10,08
1858;52;0;10,24
1857;53;0;10,42
1856;54;0;11,06
1855;55;0;11,28
1854;56;0;11,44
1853;57;0;11,88
1852;58;0;12,2
1851;59;0;12,36
1850;60;0;12,68
1849;61;0;12,72
1848;62;0;12,82
1847;63;0;12,96
1846;64;0;13,32
1845;65;0;13,48
1844;66;0;13,54
1843;67;0;13,64
1842;68;0;13,86
1841;69;0;13,86
1840;70;0;13,86
1839;71;0;13,88
1838;72;0;13,94
1837;73;0;14,04
1836;74;0;14,3
1835;75;0;14,36
1834;76;0;14,68
1833;77;0;15,68
1832;78;0;15,82
1831;79;0;15,82
1830;80;0;15,9
1829;81;0;16
1828;82;0;16,16
1827;83;0;16,18
1826;84;0;16,2
1825;85;0;16,24
1824;86;0;16,34
1823;87;0;16,36
1822;88;0;16,4
1821;89;0;16,4
1820;90;0;16,4
1819;91;0;16,56
1818;92;0;16,6
1817;93;0;17,04
1816;94;0;17,1
1815;95;0;17,2
1814;96;0;17,2
1813;97;0;17,28
1812;98;0;17,42
1811;99;0;17,64
1810;100;0;17,7
1809;101;0;17,72
1808;102;0;17,72
1807;103;0;17,74
1806;104;0;17,96
1805;105;0;18
1804;106;0;18,02
1803;107;0;18,08
1802;108;0;18,16
1801;109;0;18,22
1800;110;0;18,32
1799;111;0;18,52
1798;112;0;18,58
1797;113;0;18,72
1796;114;0;18,76
1795;115;0;18,78
1794;116;0;18,88
1793;117;0;19,04
1792;118;0;19,1
1791;119;0;19,14
1790;120;0;19,34
1789;121;0;19,5
1788;122;0;19,5
1787;123;0;19,54
1786;124;0;19,66
1785;125;0;19,78
1784;126;0;19,82
1783;127;0;19,9
1782;128;0;20,3
1781;129;0;20,34
1780;130;0;20,52
1779;131;0;20,52
1778;132;0;20,52
1777;133;0;20,52
1776;134;0;20,58
1775;135;0;20,6
1774;136;0;20,68
1773;137;0;20,8
1772;138;0;20,84
1771;139;0;20,84
1770;140;0;21
1769;141;0;21,04
1768;142;0;21,08
1767;143;0;21,16
1766;144;0;21,16
1765;145;0;21,16
1764;146;0;21,18
1763;147;0;21,24
1762;148;0;21,36
1761;149;0;21,52
1760;150;0;21,66
1759;151;0;21,88
1758;152;0;21,92
1757;153;0;21,94
1756;154;0;22
1755;155;0;22,22
1754;156;0;22,42
1753;157;0;22,42
1752;158;0;22,46
1751;159;0;22,5
1750;160;0;22,54
1749;161;0;22,6
1748;162;0;22,82
1747;163;0;22,82
1746;164;0;22,84
1745;165;0;22,9
1744;166;0;22,94
1743;167;0;23
1742;168;0;23,02
1741;169;0;23,02
1740;170;0;23,02
1739;171;0;23,04
1738;172;0;23,06
1737;173;0;23,2
1736;174;0;23,2
1735;175;0;23,38
1734;176;0;23,4
1733;177;0;23,42
1732;178;0;23,46
1731;179;0;23,48
1730;180;0;23,52
1729;181;0;23,54
1728;182;0;23,54
1727;183;0;23,58
1726;184;0;23,62
1725;185;0;23,64
1724;186;0;23,68
1723;187;0;23,8
1722;188;0;23,8
1721;189;0;24,16
1720;190;0;24,26
1719;191;0;24,3
1718;192;0;24,38
1717;193;0;24,52
1716;194;0;24,52
1715;195;0;24,7
1714;196;0;24,7
1713;197;0;24,76
1712;198;0;24,8
1711;199;0;24,82
1710;200;0;24,82
1709;201;0;24,84
1708;202;0;24,9
1707;203;0;24,96
1706;204;0;24,98
1705;205;0;25,02
1704;206;0;25,04
1703;207;0;25,04
1702;208;0;25,08
1701;209;0;25,12
1700;210;0;25,14
1699;211;0;25,18
1698;212;0;25,18
1697;213;0;25,24
1696;214;0;25,48
1695;215;0;25,48
1694;216;0;25,62
1693;217;0;25,64
1692;218;0;25,72
1691;219;0;25,76
1690;220;0;25,76
1689;221;0;25,78
1688;222;0;25,78
1687;223;0;25,78
1686;224;0;25,8
1685;225;0;25,8
1684;226;0;25,8
1683;227;0;25,86
1682;228;0;25,88
1681;229;0;26
1680;230;0;26,04
1679;231;0;26,14
1678;232;0;26,32
1677;233;0;26,38
1676;234;0;26,42
1675;235;0;26,44
1674;236;0;26,46
1673;237;0;26,56
1672;238;0;26,58
1671;239;0;26,58
1670;240;0;26,94
1669;241;0;26,94
1668;242;0;27
1667;243;0;27
1666;244;0;27,04
1665;245;0;27,16
1664;246;0;27,16
1663;247;0;27,18
1662;248;0;27,24
1661;249;0;27,26
1660;250;0;27,26
1659;251;0;27,3
1658;252;0;27,36
1657;253;0;27,68
1656;254;0;27,74
1655;255;0;27,76
1654;256;0;27,76
1653;257;0;27,78
1652;258;0;27,8
1651;259;0;27,8
1650;260;0;27,88
1649;261;0;28,04
1648;262;0;28,04
1647;263;0;28,08
1646;264;0;28,34
1645;265;0;28,52
1644;266;0;28,66
1643;267;0;28,68
1642;268;0;28,9
1641;269;0;28,98
1640;270;0;29,12
1639;271;0;29,16
1638;272;0;29,2
1637;273;0;29,26
1636;274;0;29,26
1635;275;0;29,28
1634;276;0;29,28
1633;277;0;29,3
1632;278;0;29,42
1631;279;0;29,44
1630;280;0;29,54
1629;281;0;29,58
1628;282;0;29,58
1627;283;0;29,58
1626;284;0;29,6
1625;285;0;29,62
1624;286;0;29,72
1623;287;0;29,72
1622;288;0;29,74
1621;289;0;29,76
1620;290;0;29,78
1619;291;0;29,82
1618;292;0;29,82
1617;293;0;29,92
1616;294;0;30
1615;295;0;30,04
1614;296;0;30,12
1613;297;0;30,14
1612;298;0;30,18
1611;299;0;30,24
1610;300;0;30,24
1609;301;0;30,28
1608;302;0;30,32
1607;303;0;30,32
1606;304;0;30,32
1605;305;0;30,32
1604;306;0;30,32
1603;307;0;30,34
1602;308;0;30,36
1601;309;0;30,46
1600;310;0;30,48
1599;311;0;30,52
1598;312;0;30,54
1597;313;0;30,6
1596;314;0;30,62
1595;315;0;30,62
1594;316;0;30,74
1593;317;0;30,74
1592;318;0;30,92
1591;319;0;30,94
1590;320;0;31,02
1589;321;0;31,06
1588;322;0;31,08
1587;323;0;31,08
1586;324;0;31,12
1585;325;0;31,2
1584;326;0;31,28
1583;327;0;31,34
1582;328;0;31,38
1581;329;0;31,44
1580;330;0;31,46
1579;331;0;31,5
1578;332;0;31,54
1577;333;0;31,54
1576;334;0;31,92
1575;335;0;32
1574;336;0;32,16
1573;337;0;32,2
1572;338;0;32,22
1571;339;0;32,24
1570;340;0;32,24
1569;341;0;32,34
1568;342;0;32,36
1567;343;0;32,38
1566;344;0;32,4
1565;345;0;32,48
1564;346;0;32,48
1563;347;0;32,52
1562;348;0;32,6
1561;349;0;32,62
1560;350;0;32,72
1559;351;0;32,78
1558;352;0;32,86
1557;353;0;32,9
1556;354;0;32,92
1555;355;0;33,02
1554;356;0;33,06
1553;357;0;33,1
1552;358;0;33,1
1551;359;0;33,24
1550;360;0;33,26
1549;361;0;33,26
1548;362;0;33,28
1547;363;0;33,28
1546;364;0;33,28
1545;365;0;33,42
1544;366;0;33,44
1543;367;0;33,44
1542;368;0;33,5
1541;369;0;33,52
1540;370;0;33,6
1539;371;0;33,72
1538;372;0;33,72
1537;373;0;33,72
1536;374;0;33,72
1535;375;0;33,72
1534;376;0;33,74
1533;377;0;33,76
1532;378;0;33,84
1531;379;0;33,92
1530;380;0;33,94
1529;381;0;33,96
1528;382;0;34,02
1527;383;0;34,04
1526;384;0;34,1
1525;385;0;34,1
1524;386;0;34,1
1523;387;0;34,12
1522;388;0;34,16
1521;389;0;34,16
1520;390;0;34,18
1519;391;0;34,18
1518;392;0;34,26
1517;393;0;34,3
1516;394;0;34,38
1515;395;0;34,4
1514;396;0;34,58
1513;397;0;34,64
1512;398;0;34,64
1511;399;0;34,66
1510;400;0;34,68
1509;401;0;34,74
1508;402;0;34,76
1507;403;0;34,78
1506;404;0;34,8
1505;405;0;34,8
