HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;1,8
1988;12;0;3,5
1987;13;0;5,44
1986;14;0;5,74
1985;15;0;5,84
1984;16;0;6,66
1983;17;0;6,9
1982;18;0;7,52
1981;19;0;7,58
1980;20;0;9,18
1979;21;0;11,36
1978;22;0;13
1977;23;0;13,7
1976;24;0;14,18
1975;25;0;15,3
1974;26;0;15,3
1973;27;0;16,12
1972;28;0;16,12
1971;29;0;16,46
1970;30;0;16,88
1969;31;0;17,26
1968;32;0;18,5
1967;33;0;19,5
1966;34;0;19,6
1965;35;0;19,84
1964;36;0;20,62
1963;37;0;21,04
1962;38;0;21,84
1961;39;0;22,04
1960;40;0;22,44
1959;41;0;22,44
1958;42;0;22,66
1957;43;0;22,7
1956;44;0;22,76
1955;45;0;23,22
1954;46;0;23,76
1953;47;0;23,88
1952;48;0;24,02
1951;49;0;24,52
1950;50;0;24,58
1949;51;0;24,68
1948;52;0;24,82
1947;53;0;25,04
1946;54;0;25,08
1945;55;0;25,26
1944;56;0;25,28
1943;57;0;25,58
1942;58;0;25,7
1941;59;0;26,54
1940;60;0;26,58
1939;61;0;26,7
1938;62;0;26,98
1937;63;0;27,3
1936;64;0;27,74
1935;65;0;27,82
1934;66;0;28,08
1933;67;0;28,14
1932;68;0;28,66
1931;69;0;28,88
1930;70;0;29,12
1929;71;0;29,18
1928;72;0;29,22
1927;73;0;29,3
1926;74;0;29,4
1925;75;0;29,48
1924;76;0;29,8
1923;77;0;29,86
1922;78;0;29,94
1921;79;0;30,1
1920;80;0;30,12
1919;81;0;30,42
1918;82;0;30,48
1917;83;0;30,54
1916;84;0;30,6
1915;85;0;30,74
1914;86;0;30,88
1913;87;0;31,12
1912;88;0;32,06
1911;89;0;32,06
1910;90;0;32,16
1909;91;0;32,3
1908;92;0;32,38
1907;93;0;32,4
1906;94;0;32,48
1905;95;0;33,02
1904;96;0;33,12
1903;97;0;33,46
1902;98;0;33,52
1901;99;0;33,56
1900;100;0;33,8
1899;101;0;33,86
1898;102;0;33,92
1897;103;0;33,96
1896;104;0;33,98
1895;105;0;34,02
1894;106;0;34,1
1893;107;0;34,52
1892;108;0;34,54
1891;109;0;35
1890;110;0;35,02
1889;111;0;35,16
1888;112;0;35,32
1887;113;0;36,16
1886;114;0;36,48
1885;115;0;36,7
1884;116;0;36,88
1883;117;0;36,94
1882;118;0;36,98
1881;119;0;37
1880;120;0;37,22
1879;121;0;37,22
1878;122;0;37,34
1877;123;0;37,5
1876;124;0;38,02
1875;125;0;38,74
1874;126;0;38,98
1873;127;0;39,16
1872;128;0;39,2
1871;129;0;39,28
1870;130;0;39,3
1869;131;0;39,62
