Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2956946,0.11072451,0.0,1999.0,-6.742749840021133,-6.742749840021133,1.0
20000,3.2956927,0.11333831,0.0,1999.0,-7.549399435520172,-7.549399435520172,1.0
30000,3.287457,0.08011988,0.0,1999.0,-8.264799451828003,-8.264799451828003,1.0
40000,3.2869067,0.079542324,0.0,1999.0,-3.4485997200012206,-3.4485997200012206,1.0
50000,3.2698567,0.031439506,0.0,1999.0,-7.441800045967102,-7.441800045967102,1.0
60000,3.2683916,0.02476832,0.0,1999.0,-7.895199275016784,-7.895199275016784,1.0
70000,3.2568724,-0.025416365,0.0,1999.0,-7.905200016498566,-7.905200016498566,1.0
80000,3.254469,-0.030555844,0.0,1999.0,-7.727599716186523,-7.727599716186523,1.0
90000,3.2557564,-0.06479857,0.0,1999.0,-7.58179988861084,-7.58179988861084,1.0
100000,3.2576313,-0.08242221,0.0,1999.0,-8.04180006980896,-8.04180006980896,1.0
110000,3.2430563,-0.07568209,0.0,1999.0,-7.199800038337708,-7.199800038337708,1.0
120000,3.2374923,-0.07600149,0.0,1999.0,-6.122599303722382,-6.122599303722382,1.0
130000,3.23267,-0.075119235,0.0,1999.0,-7.027799391746521,-7.027799391746521,1.0
140000,3.2312207,-0.06257013,0.0,1999.0,-3.9447996616363525,-3.9447996616363525,1.0
150000,3.2221467,-0.074214555,0.0,1999.0,-7.276599872112274,-7.276599872112274,1.0
160000,3.2165442,-0.07737775,0.0,1999.0,-6.978999245166778,-6.978999245166778,1.0
170000,3.2053623,-0.092102624,0.0,1999.0,0.8302005767822266,0.8302005767822266,1.0
180000,3.2015998,-0.07544313,0.0,1999.0,2.094200813770294,2.094200813770294,1.0
190000,3.1946805,-0.082085796,0.0,1999.0,-2.640599322319031,-2.640599322319031,1.0
200000,3.1873546,-0.07497491,0.0,1999.0,0.8152004241943359,0.8152004241943359,1.0
210000,3.1801643,-0.057746768,0.0,1999.0,0.8124005675315857,0.8124005675315857,1.0
220000,3.1722124,-0.03345728,0.0,1999.0,0.2502003788948059,0.2502003788948059,1.0
230000,3.1644027,-0.033662613,0.0,1999.0,2.7120004296302795,2.7120004296302795,1.0
240000,3.1503358,-0.024751145,0.0,1999.0,0.03320075273513794,0.03320075273513794,1.0
250000,3.1469436,-0.025994102,0.0,1999.0,1.191000509262085,1.191000509262085,1.0
260000,3.1348877,-0.004088608,0.0,1999.0,4.659800934791565,4.659800934791565,1.0
270000,3.130274,0.007017041,0.0,1999.0,4.0718007445335385,4.0718007445335385,1.0
280000,3.1219811,0.04834973,0.0,1999.0,3.8302002549171448,3.8302002549171448,1.0
290000,3.1268451,0.034568317,0.0,1999.0,-5.678599619865418,-5.678599619865418,1.0
300000,3.1197526,0.021927385,0.0,1999.0,7.733800780773163,7.733800780773163,1.0
310000,3.1103601,0.038816936,0.0,1999.0,-3.9851994037628176,-3.9851994037628176,1.0
320000,3.113007,0.03886954,0.0,1999.0,7.199400651454925,7.199400651454925,1.0
330000,3.1144624,0.03758821,0.0,1999.0,1.559400773048401,1.559400773048401,1.0
340000,3.1139712,0.04263213,0.0,1999.0,2.675000214576721,2.675000214576721,1.0
350000,3.1202805,0.044988375,0.0,1999.0,3.530600535869598,3.530600535869598,1.0
360000,3.1275132,0.07532024,0.0,1999.0,4.372400617599487,4.372400617599487,1.0
370000,3.1287782,0.074018255,0.0,1999.0,3.250400650501251,3.250400650501251,1.0
380000,3.1254861,0.09691085,0.0,1999.0,3.1406007528305055,3.1406007528305055,1.0
390000,3.1243973,0.09705506,0.0,1999.0,4.264400553703308,4.264400553703308,1.0
400000,3.1305003,0.11445401,0.0,1999.0,6.059600353240967,6.059600353240967,1.0
410000,3.124676,0.103638634,0.0,1999.0,-0.7199999332427979,-0.7199999332427979,1.0
420000,3.119871,0.101315156,0.0,1999.0,-2.6327997922897337,-2.6327997922897337,1.0
430000,3.1186938,0.09649433,0.0,1999.0,3.711200773715973,3.711200773715973,1.0
440000,3.1016812,0.088651106,0.0,1999.0,3.233000862598419,3.233000862598419,1.0
450000,3.1078413,0.08804165,0.0,1999.0,0.5890007615089417,0.5890007615089417,1.0
460000,3.087806,0.098202586,0.0,1999.0,5.440800714492798,5.440800714492798,1.0
470000,3.0875938,0.10440441,0.0,1999.0,2.9816006064414977,2.9816006064414977,1.0
480000,3.0947304,0.12117885,0.0,1999.0,1.0084006071090699,1.0084006071090699,1.0
490000,3.0978923,0.13202444,0.0,1999.0,-3.1787996530532836,-3.1787996530532836,1.0
500000,3.100705,0.11846719,0.0,1999.0,-3.420999300479889,-3.420999300479889,1.0
510000,3.1085265,0.11162944,0.0,1999.0,2.7856005668640136,2.7856005668640136,1.0
520000,3.1095169,0.13769802,0.0,1999.0,6.947200644016266,6.947200644016266,1.0
530000,3.116358,0.1472569,0.0,1999.0,-2.360599708557129,-2.360599708557129,1.0
540000,3.117195,0.13441253,0.0,1999.0,-3.4835992455482483,-3.4835992455482483,1.0
550000,3.1147668,0.13166651,0.0,1999.0,6.725200641155243,6.725200641155243,1.0
560000,3.1085584,0.11494459,0.0,1999.0,-3.3647995948791505,-3.3647995948791505,1.0
570000,3.1041887,0.1054769,0.0,1999.0,0.29940088987350466,0.29940088987350466,1.0
580000,3.1094933,0.098622404,0.0,1999.0,0.9770005583763123,0.9770005583763123,1.0
590000,3.10595,0.09032388,0.0,1999.0,1.4408007502555846,1.4408007502555846,1.0
600000,3.1147192,0.090115786,0.0,1999.0,0.4046006441116333,0.4046006441116333,1.0
610000,3.113959,0.08189869,0.0,1999.0,4.832800829410553,4.832800829410553,1.0
620000,3.1092117,0.098756075,0.0,1999.0,3.724400448799133,3.724400448799133,1.0
630000,3.1039047,0.12657377,0.0,1999.0,3.477000284194946,3.477000284194946,1.0
