HealthyCount;InfectedCount;RecoveredCount;Time
50;0;0;0
49;1;0;0
48;2;0;0
47;3;0;0
46;4;0;0
45;5;0;0
44;6;0;0
43;7;0;0
42;8;0;0
41;9;0;0
40;10;0;0
39;11;0;0
38;12;0;0
37;13;0;0
36;14;0;0
35;15;0;0
34;16;0;0
33;17;0;0
32;18;0;0
31;19;0;0
30;20;0;0
29;21;0;0
28;22;0;0
27;23;0;0
26;24;0;0
25;25;0;0
24;26;0;0
23;27;0;0
22;28;0;0
21;29;0;0
20;30;0;0
19;31;0;0
18;32;0;0
17;33;0;0
16;34;0;0
15;35;0;0
14;36;0;0
13;37;0;0
12;38;0;0
11;39;0;0
10;40;0;0
9;41;0;0
8;42;0;0
7;43;0;0
6;44;0;0
5;45;0;0
4;46;0;0
3;47;0;0
2;48;0;0
1;49;0;0
0;50;0;0
50;0;0;0
49;1;0;0
48;2;0;0
47;3;0;0
46;4;0;0
45;5;0;0
44;6;0;0
43;7;0;0
42;8;0;0
41;9;0;0
40;10;0;0
39;11;0;0
38;12;0;0
37;13;0;0
36;14;0;0
35;15;0;0
34;16;0;0
33;17;0;0
32;18;0;0
31;19;0;0
30;20;0;0
29;21;0;0
28;22;0;0
27;23;0;0
26;24;0;0
25;25;0;0
24;26;0;0
23;27;0;0
22;28;0;0
21;29;0;0
20;30;0;0
19;31;0;0
18;32;0;0
17;33;0;0
16;34;0;0
15;35;0;0
14;36;0;0
13;37;0;0
12;38;0;0
11;39;0;0
10;40;0;0
9;41;0;0
8;42;0;0
7;43;0;0
6;44;0;0
5;45;0;0
4;46;0;0
3;47;0;0
2;48;0;0
1;49;0;0
0;50;0;0
50;0;0;11,04
49;1;0;11,04
48;2;0;11,04
47;3;0;11,04
46;4;0;11,04
45;5;0;11,04
44;6;0;11,04
43;7;0;11,04
42;8;0;11,04
41;9;0;11,04
40;10;0;11,04
39;11;0;11,04
38;12;0;11,04
37;13;0;11,04
36;14;0;11,04
35;15;0;11,04
34;16;0;11,04
33;17;0;11,04
32;18;0;11,04
31;19;0;11,04
30;20;0;11,04
29;21;0;11,04
28;22;0;11,04
27;23;0;11,04
26;24;0;11,04
25;25;0;11,04
24;26;0;11,04
23;27;0;11,04
22;28;0;11,04
21;29;0;11,04
20;30;0;11,04
19;31;0;11,04
18;32;0;11,04
17;33;0;11,04
16;34;0;11,04
15;35;0;11,04
14;36;0;11,04
13;37;0;11,04
12;38;0;11,04
11;39;0;11,04
10;40;0;11,04
9;41;0;11,04
8;42;0;11,04
7;43;0;11,04
6;44;0;11,04
5;45;0;11,04
4;46;0;11,04
3;47;0;11,04
2;48;0;11,04
1;49;0;11,04
0;50;0;11,04
50;0;0;28,92
49;1;0;28,92
48;2;0;28,92
47;3;0;28,92
46;4;0;28,92
45;5;0;28,92
44;6;0;28,92
43;7;0;28,92
42;8;0;28,92
